OrderID,CustomerID,EmployeeID,OrderDate,RequiredDate,ShippedDate,ShipVia,Freight,ShipName,ShipAddress,ShipCity,ShipRegion,ShipPostalCode,ShipCountry
10248,VINET,5,04.07.1996,1996-08-01 00:00:00,1996-07-16 00:00:00,3,32.38,VINS ET ALCOOLS CHEVALIER,59 rue de l'Abbaye,Reims,,51100,France
10249,TOMSP,6,1996-07-05 00:00:00.000,1996/08/16,1996-07-10 00:00:00.000,1,11.61,TOMS SPEZIALITÄTEN,  Luisenstr. 48  ,Münster,,44087,Germany
10250,HANAR,4,1996-07-08 00:00:00.000,05-08-1996,1996-07-12 00:00:00.000,2,65.83,Hanari Carnes,"rua do paço, 67",Rio de Janeiro,RJ,05454-876,Brazil
10251,VICTE,3,08.07.1996,1996-08-05 00:00:00.000,1996/07/15,1,41.34,VICTUAILLES EN STOCK,"2, rue du Commerce",Lyon,,69004,France
10252,SUPRD,4,1996-07-09 00:00:00.000,06.08.1996,1996-07-11 00:00:00.000,2,51.3,Suprêmes délices,"Boulevard  Tirou,  255",Charleroi,,B-6000,Belgium
10253,HANAR,3,10.07.1996,1996/07/24,1996-07-16 00:00:00.000,2,58.17,Hanari  Carnes,"Rua do Paço, 67",Rio  de  Janeiro,RJ,05454-876,Brazil
10254,CHOPS,5,1996/07/11,1996/08/08,23.07.1996,2,22.98,Chop-suey  Chinese,  Hauptstr. 31  ,BERN,,3012,Switzerland
10255,RICSU,9,1996-07-12 00:00:00.000,1996-08-09 00:00:00.000,15.07.1996,3,148.33,Richter  Supermarkt,Starenweg  5,Genève,,1204,Switzerland
10256,WELLI,3,1996-07-15 00:00:00.000,12.08.1996,1996-07-17 00:00:00.000,2,13.97,Wellington  Importadora,"Rua do Mercado, 12",Resende,SP,08737-363,Brazil
10257,HILAA,4,1996-07-16 00:00:00.000,08/13/1996,1996-07-22 00:00:00,3,81.91,HILARION-ABASTOS,Carrera 22 con Ave. Carlos Soublette #8-35,San Cristóbal,Táchira,5022,Venezuela
10258,ERNSH,1,1996-07-17 00:00:00.000,1996-08-14 00:00:00,1996-07-23 00:00:00.000,1,140.51,ernst handel,KIRCHGASSE  6,Graz,,8010,Austria
10259,CENTC,4,1996-07-18 00:00:00,1996-08-15 00:00:00.000,1996-07-25 00:00:00.000,3,3.25,Centro comercial Moctezuma,Sierras de Granada 9993,méxico d.f.,,05022,Mexico
10260,OTTIK,4,1996-07-19 00:00:00.000,1996-08-16 00:00:00.000,1996-07-29 00:00:00.000,1,55.09,Ottilies Käseladen,Mehrheimerstr. 369,köln,,50739,Germany
10261,QUEDE,4,1996-07-19 00:00:00,1996-08-16 00:00:00.000,1996-07-30 00:00:00.000,2,3.05,  Que Delícia  ,"  Rua da Panificadora, 12  ",RIO DE JANEIRO,RJ,02389-673,Brazil
10262,RATTC,8,1996/07/22,08/19/1996,1996-07-25 00:00:00.000,3,48.29,Rattlesnake Canyon Grocery,2817 Milton Dr.,albuquerque,NM,87110,USA
10263,ERNSH,9,07/23/1996,1996-08-20 00:00:00.000,1996-07-31 00:00:00.000,3,146.06,  Ernst Handel  ,Kirchgasse 6,Graz,,8010,Austria
10264,FOLKO,6,1996-07-24 00:00:00.000,1996-08-21 00:00:00.000,1996-08-23 00:00:00,3,3.67,Folk och fä HB,Åkergatan 24,Bräcke,,S-844 67,Sweden
10265,BLONP,2,25-07-1996,22-08-1996,1996-08-12 00:00:00,1,55.28,Blondel père et fils,"24, place Kléber",Strasbourg,,67000,France
10266,WARTH,3,1996-07-26 00:00:00.000,1996-09-06 00:00:00.000,1996/07/31,3,25.73,Wartian Herkku,Torikatu 38,OULU,,90110,Finland
10267,FRANK,4,2026-01-01 00:00:00.000,1996-08-26 00:00:00.000,08/06/1996,1,208.58,  Frankenversand  ,BERLINER PLATZ 43,München,,80805,Germany
10268,GROSR,8,1996-07-30 00:00:00.000,1996-08-27 00:00:00,02.08.1996,3,66.29,GROSELLA-Restaurante,5ª Ave. Los Palos Grandes,Caracas,DF,1081,Venezuela
10269,WHITC,5,1996/07/31,1996-08-14 00:00:00.000,1996-08-09 00:00:00.000,1,4.56,White Clover Markets,1029 - 12th Ave. S.,  seattle  ,WA,98124,USA
10270,WARTH,1,1996-08-01 00:00:00.000,1996-08-29 00:00:00.000,1996-08-02 00:00:00.000,1,136.54,Wartian Herkku,Torikatu 38,Oulu,,90110,Finland
10271,SPLIR,6,01-08-1996,08/29/1996,1996-08-30 00:00:00.000,2,4.54,Split Rail Beer & Ale,P.O. Box 555,Lander,WY,82520,USA
10272,RATTC,6,1996-08-02 00:00:00.000,1996-08-30 00:00:00.000,1996-08-06 00:00:00.000,2,98.03,  Rattlesnake Canyon Grocery  ,  2817 Milton Dr.  ,  Albuquerque  ,NM,87110,USA
10273,QUICK,3,1996-08-05 00:00:00.000,1996/09/02,1996-08-12 00:00:00.000,3,76.07,QUICK-Stop,Taucherstraße 10,  cunewalde  ,,01307,Germany
10274,VINET,6,1996-08-06 00:00:00.000,1996-09-03 00:00:00.000,16.08.1996,1,6.01,VINS ET ALCOOLS CHEVALIER,59 RUE DE L'ABBAYE,Reims,,51100,France
10275,MAGAA,1,1996/08/07,04.09.1996,1996-08-09 00:00:00.000,1,26.93,magazzini alimentari riuniti,via ludovico il moro 22,  Bergamo  ,,24100,Italy
10276,TORTU,8,1996-08-08 00:00:00,22.08.1996,1996-08-14 00:00:00.000,3,13.84,TORTUGA RESTAURANTE,  Avda. Azteca 123  ,MÉXICO D.F.,,05033,Mexico
10277,MORGK,2,1996-08-09 00:00:00.000,1996-09-06 00:00:00,nan,3,125.77,  Morgenstern Gesundkost  ,Heerstr. 22,Leipzig,,04179,Germany
10278,BERGS,8,1996-08-12 00:00:00.000,1996-09-09 00:00:00.000,1996-08-16 00:00:00,2,92.69,Berglunds snabbköp,Berguvsvägen    8,LULEÅ,,S-958 22,Sweden
10279,LEHMS,8,1996-08-13 00:00:00.000,09/10/1996,16.08.1996,2,25.83,lehmanns marktstand,Magazinweg 7,Frankfurt a.M.,,60528,Germany
10280,BERGS,2,1996-08-14 00:00:00.000,1996-09-11 00:00:00.000,1996-09-12 00:00:00.000,1,8.98,BERGLUNDS SNABBKÖP,Berguvsvägen  8,luleå,,S-958 22,Sweden
10281,ROMEY,4,14.08.1996,1996-08-28 00:00:00,1996-08-21 00:00:00.000,1,2.94,  Romero y tomillo  ,"Gran Vía, 1",MADRID,,28001,Spain
10282,ROMEY,4,1996-08-15 00:00:00.000,1996-09-12 00:00:00.000,21-08-1996,1,12.69,  Romero y tomillo  ,"Gran Vía, 1",MADRID,,28001,Spain
10283,LILAS,3,1996-08-16 00:00:00,09/13/1996,1996-08-23 00:00:00.000,3,84.81,LILA-Supermercado,CARRERA 52 CON AVE. BOLÍVAR #65-98 LLANO LARGO,Barquisimeto,Lara,,Venezuela
10284,LEHMS,4,1996/08/19,16-09-1996,1996-08-27 00:00:00,1,76.56,LEHMANNS MARKTSTAND,Magazinweg 7,  Frankfurt a.M.  ,,60528,Germany
10285,QUICK,1,20.08.1996,1996-09-17 00:00:00.000,1996-08-26 00:00:00.000,2,76.83,  QUICK-Stop  ,Taucherstraße 10,cunewalde,,01307,Germany
10286,QUICK,8,08/21/1996,1996-09-18 00:00:00.000,1996-08-30 00:00:00,3,229.24,QUICK-Stop,taucherstraße 10,cunewalde,,01307,Germany
10287,RICAR,8,1996-08-22 00:00:00.000,19.09.1996,08/28/1996,3,12.76,Ricardo Adocicados,"av. copacabana, 267",Rio de Janeiro,RJ,02389-890,Brazil
10288,REGGC,4,1996-08-23 00:00:00.000,1996-09-20 00:00:00,1996-09-03 00:00:00.000,1,7.45,Reggiani Caseifici,Strada Provinciale 124,REGGIO EMILIA,,42100,Italy
10289,BSBEV,7,1996-08-26 00:00:00.000,1996-09-23 00:00:00.000,28-08-1996,3,22.77,b's beverages,  Fauntleroy Circus  ,London,,EC2 5NT,UK
10290,COMMI,8,1996-08-27 00:00:00.000,1996-09-24 00:00:00.000,1996-09-03 00:00:00.000,1,79.7,Comércio Mineiro,"av. dos lusíadas, 23",Sao Paulo,SP,05432-043,Brazil
10291,QUEDE,6,1996-08-27 00:00:00.000,1996-09-24 00:00:00.000,04-09-1996,2,6.4,Que  Delícia,"Rua da Panificadora, 12",  rio de janeiro  ,RJ,02389-673,Brazil
10292,TRADH,1,1996-08-28 00:00:00.000,1996/09/25,1996-09-02 00:00:00,2,1.35,TRADIÇAO  HIPERMERCADOS,"Av. Inês de Castro, 414",Sao Paulo,SP,05634-030,Brazil
10293,TORTU,1,1996-08-29 00:00:00.000,1996-09-26 00:00:00.000,1996-09-11 00:00:00.000,3,21.18,Tortuga  Restaurante,  Avda. Azteca 123  ,  México D.F.  ,,05033,Mexico
10294,RATTC,4,08/30/1996,27.09.1996,1996-09-05 00:00:00,2,147.26,Rattlesnake  Canyon  Grocery,2817 Milton Dr.,ALBUQUERQUE,NM,87110,USA
10295,VINET,2,09/02/1996,1996-09-30 00:00:00.000,1996/09/10,2,1.15,VINS  ET  ALCOOLS  CHEVALIER,59 rue de l'Abbaye,Reims,,51100,France
10296,LILAS,6,1996-09-03 00:00:00.000,1996-10-01 00:00:00.000,1996-09-11 00:00:00.000,1,0.12,  LILA-Supermercado  ,Carrera 52 con Ave. Bolívar #65-98 Llano Largo,Barquisimeto,Lara,3508,Venezuela
10297,BLONP,5,09/04/1996,16-10-1996,1996-09-10 00:00:00.000,2,5.74,Blondel père et fils,"24, place Kléber",Strasbourg,,67000,France
10298,HUNGO,6,05-09-1996,1996-10-03 00:00:00.000,1996-09-11 00:00:00,2,168.22,  Hungry Owl All-Night Grocers  ,8 Johnstown Road,cork,Co. Cork,,Ireland
10299,RICAR,4,1996-09-06 00:00:00.000,04.10.1996,13.09.1996,2,29.76,Ricardo  Adocicados,"Av.  Copacabana,  267",Rio de Janeiro,RJ,02389-890,Brazil
10300,MAGAA,2,1996-09-09 00:00:00.000,1996-10-07 00:00:00,1996-09-18 00:00:00.000,2,17.68,magazzini  alimentari  riuniti,via ludovico il moro 22,BERGAMO,,24100,Italy
10301,WANDK,8,09-09-1996,1996-10-07 00:00:00.000,1996-09-17 00:00:00.000,2,45.08,Die Wandernde Kuh,Adenauerallee 900,stuttgart,,70563,Germany
10302,SUPRD,4,1996-09-10 00:00:00.000,1996-10-08 00:00:00,1996-10-09 00:00:00.000,2,6.27,Suprêmes délices,"BOULEVARD TIROU, 255",Charleroi,,B-6000,Belgium
10303,GODOS,7,1996-09-11 00:00:00.000,1996/10/09,1996-09-18 00:00:00.000,2,107.83,Godos Cocina Típica,"C/  Romero,  33",Sevilla,,41101,Spain
10304,TORTU,1,12.09.1996,10.10.1996,1996-09-17 00:00:00.000,2,63.79,tortuga restaurante,Avda.  Azteca  123,México D.F.,,05033,Mexico
10305,OLDWO,8,1996-09-13 00:00:00,1996-10-11 00:00:00.000,1996-10-09 00:00:00.000,3,257.62,Old World Delicatessen,2743 Bering St.,ANCHORAGE,AK,99508,USA
