CustomerID,Total_Orders,Total_Spend,Avg_Order_Value,Recency_Days,Total_Orders_IsOutlier,Total_Spend_IsOutlier
ALFKI,6.0,4281.64,356.8,10129,False,False
ANATR,4.0,1402.95,140.3,10165,False,False
ANTON,7.0,7023.98,413.18,10200,False,False
AROUT,13.0,13390.65,446.35,10128,False,False
BERGS,18.0,27149.98,502.78,10075,False,False
BLAUS,6.0,3090.8,237.75,10109,False,False
BLONP,11.0,18534.08,712.85,9893,False,False
BOLID,3.0,4232.85,705.48,10145,False,False
BONAP,17.0,21963.25,499.16,9893,False,False
BOTTM,14.0,20404.8,600.14,10114,False,False
BSBEV,10.0,6009.9,273.18,10124,False,False
CACTU,6.0,1814.8,164.98,9952,False,False
CENTC,1.0,100.8,50.4,10759,False,False
CHOPS,8.0,12348.88,561.31,10116,False,False
COMMI,5.0,3810.75,381.08,10116,False,False
CONSH,3.0,1719.1,245.59,10205,False,False
DRACD,6.0,3763.21,376.32,10104,False,False
DUMON,4.0,1615.9,179.54,10181,False,False
EASTC,8.0,14632.04,696.76,10110,False,False
ERNSH,29.0,107531.48,1086.18,10103,True,True
FAMIA,7.0,4107.55,216.19,10289,False,False
FOLIG,5.0,11666.9,729.18,10237,False,False
FOLKO,19.0,29567.56,657.06,9953,False,False
FRANK,15.0,32090.56,668.55,0,False,False
FRANR,3.0,3172.16,528.69,10145,False,False
FRANS,6.0,1913.7,191.37,10108,False,False
FURIB,8.0,6427.42,321.37,10150,False,False
GALED,5.0,836.7,104.59,10164,False,False
GODOS,10.0,11320.36,435.4,10012,False,False
GOURL,9.0,7094.14,373.38,10114,False,False
GREAL,11.0,17766.45,807.57,10108,False,False
GROSR,2.0,1488.7,372.18,10241,False,False
HANAR,14.0,32029.27,1033.2,10111,False,False
HILAA,18.0,20130.68,457.52,10110,False,False
HUNGC,5.0,3063.2,340.36,10342,False,False
HUNGO,19.0,49379.9,914.44,10108,False,True
ISLAT,10.0,6146.3,267.23,10163,False,False
KOENE,14.0,31876.2,777.47,10122,False,False
LACOR,4.0,1992.05,181.1,10105,False,False
LAMAI,14.0,9328.2,300.91,10111,False,False
LAUGB,3.0,452.5,64.64,10227,False,False
LAZYK,2.0,357.0,178.5,10451,False,False
LEHMS,15.0,28902.66,741.09,10075,False,False
LETSS,4.0,3076.47,307.65,9892,False,False
LILAS,14.0,15485.85,469.27,0,False,False
LINOD,11.0,19211.34,582.16,10117,False,False
LONEP,8.0,8850.6,590.04,10125,False,False
MAGAA,10.0,10112.22,481.53,10046,False,False
MAISD,7.0,9736.08,572.71,10043,False,False
MEREP,13.0,28974.32,905.45,10290,False,False
MORGK,5.0,5042.2,458.38,10157,False,False
NORTS,3.0,901.0,112.62,10109,False,False
OCEAN,5.0,3478.2,316.2,10139,False,False
OLDWO,10.0,15177.46,632.39,10118,False,False
OTTIK,10.0,12496.2,430.9,10124,False,False
PERIC,6.0,4354.2,290.28,10103,False,False
PICCO,10.0,30334.26,1318.88,10111,False,False
PRINI,5.0,5044.94,504.49,10130,False,False
QUEDE,9.0,45580.81,1899.2,10138,False,True
QUEEN,13.0,44695.65,1117.39,10104,False,False
QUICK,28.0,110844.08,1319.57,10124,True,True
RANCH,5.0,2454.1,223.1,10125,False,False
RATTC,18.0,55108.6,787.27,10102,False,True
REGGC,12.0,7048.24,320.37,9921,False,False
RICAR,11.0,17793.4,659.01,10109,False,False
RICSU,10.0,19343.78,644.79,10102,False,False
ROMEY,5.0,1445.69,111.21,10129,False,False
SANTG,6.0,115878.15,7242.38,10128,False,True
SAVEA,31.0,138206.63,1212.34,10107,True,True
SEVES,9.0,16215.32,623.67,10193,False,False
SIMOB,7.0,28509.9,1900.66,10102,False,False
SPECD,4.0,2423.35,403.89,10116,False,False
SPLIR,9.0,11441.63,572.08,10144,False,False
SUPRD,12.0,23928.78,613.56,10117,False,False
THEBI,4.0,3361.0,480.14,10224,False,False
THECR,3.0,1947.24,243.4,10132,False,False
TOMSP,6.0,4778.14,341.3,10146,False,False
TORTU,10.0,13149.75,453.44,10104,False,False
TRADH,6.0,31186.66,2398.97,10209,False,False
TRAIH,3.0,1571.2,174.58,10220,False,False
VAFFE,11.0,15860.78,528.69,10157,False,False
VICTE,10.0,9256.53,370.26,10107,False,False
VINET,5.0,1480.0,148.0,10277,False,False
WANDK,10.0,9588.42,368.79,10115,False,False
WARTH,14.0,15313.9,425.39,10123,False,False
WELLI,9.0,6068.2,319.38,10160,False,False
WHITC,14.0,27147.6,678.69,10107,False,False
WILMK,7.0,3161.35,185.96,10131,False,False
WOLZA,7.0,3531.95,220.75,10115,False,False
ZZZZZ,2.0,6899.0,1724.75,10125,False,False
