SupplierID,CompanyName,ContactName,ContactTitle,Address,City,Region,PostalCode,Country,Phone,Fax,HomePage
1,Exotic Liquids,Charlotte Cooper,Purchasing Manager,49 Gilbert St.,London,Unknown,Ec1 4Sd,United Kingdom,(171) 555-2222,No Fax,No Website
2,New Orleans Cajun Delights,Unknown,Order Administrator,P.O. Box 78934,Unknown,La,70117,Usa,(100) 555-4822,No Fax,No Website
3,Grandma Kelly'S Homestead,Unknown,Sales Representative,707 Oxford Rd.,Ann Arbor,Mi,48104,Us,(313) 555-5735,(313) 555-3349,No Website
4,Tokyo Traders,Yoshi Nagase,Marketing Manager,9-8 Sekimai Musashino-Shi,Tokyo,Unknown,100,Japan,(03) 3555-5011,No Fax,No Website
5,Cooperativa De Quesos 'Las Cabras',Antonio Del Valle Saavedra,Export Administrator,Calle Del Rosal 4,Oviedo,Asturias,33007,Spain,(98) 598 76 54,No Fax,No Website
6,Mayumi'S,Unknown,Marketing Representative,92 Setsuko Chuo-Ku,Osaka,Unknown,545,Japan,(06) 431-7877,No Fax,  Mayumi's (on the World Wide Web)#http://www.microsoft.com/accessdev/sampleapps/mayumi.htm#    
7,"Pavlova, Ltd.",Ian Devling,Marketing Manager,74 Rose St. Moonie Ponds,Melbourne,Victoria,3058,Australia,(03) 444-2343,(03) 444-6588,No Website
8,"Specialty Biscuits, Ltd.",Peter Wilson,Sales Representative,29 King'S Way,Manchester,Unknown,M14 Gsd,United Kingdom,(161) 555-4448,No Fax,No Website
9,Pb Kn?Ckebr?D Ab,Lars Peterson,Sales Agent,Kaloadagatan 13,G?Teborg,Unknown,S-345 67,Sweden,031-987 65 43,No Fax,No Website
10,Refrescos Americanas Ltda,Carlos Diaz,Marketing Manager,Av. Das Americanas 12.890,Sao Paulo,Unknown,5442,Brazil,(11) 555 4640,No Fax,No Website
11,Heli Sü?Waren Gmbh & Co. Kg,Petra Winkler,Sales Manager,Tiergartenstra?E 5,Berlin,Unknown,10785,Gernany,(010) 9984510,No Fax,No Website
12,Plutzer Lebensmittelgro?M?Rkte Ag,Martin Bein,International Marketing Mgr.,Bogenallee 51,Unknown,Unknown,60439,Gernany,(069) 992755,No Fax,Plutzer  (on  the  World  Wide  Web)#http://www.microsoft.com/accessdev/sampleapps/plutzer.htm#  
13,Nord-Ost-Fisch Handelsgesellschaft Mbh,Sven Petersen,Coordinator Foreign Markets,Frahmredder 112A,Cuxhaven,Unknown,27478,Germany,(04721) 8713,No Fax,No Website
14,Formaggi Fortini S.R.L.,Elio Rossi,Sales Representative,"Viale Dante, 75",Unknown,Unknown,48100,Italy,(0544) 60323,(0544) 60603,  #FORMAGGI.HTM#    
15,Norske Meierier,Beate Vileid,Marketing Manager,Hatlevegen 5,Sandvika,Unknown,1320,Norway,(0)2-953010,No Fax,No Website
16,Bigfoot Breweries,Cheryl Saylor,Regional Account Rep.,3400 - 8Th Avenue Suite 210,Bend,Or,97101,Usa,(503) 555-9931,No Fax,No Website
17,Svensk Sj?F?Da Ab,Michael Bj?Rn,Sales Representative,Brovallav?Gen 231,Unknown,Unknown,S-123 45,Sweden,08-123 45 67,No Fax,No Website
18,Aux Joyeux Ecclésiastiques,Unknown,Sales Manager,"203, Rue Des Francs-Bourgeois",Paris,Unknown,75004,Frnace,(1) 03.83.00.68,No Fax,No Website
19,New England Seafood Cannery,Unknown,Wholesale Account Agent,Order Processing Dept. 2100 Paul Revere Blvd.,Boston,Ma,02134,Us,(617) 555-3267,(617) 555-3389,No Website
20,Leka Trading,Unknown,Owner,"471 Serangoon Loop, Suite #402",Singapore,Unknown,0512,Singapore,555-8787,No Fax,No Website
21,Lyngbysild,Niels Petersen,Sales Manager,Lyngbysild Fiskebakken 10,Lyngby,Unknown,2800,Denmark,43844108,43844115,No Website
22,Zaanse Snoepfabriek,Dirk Luchte,Accounting Manager,Verkoop Rijnweg 22,Zaandam,Unknown,9999 Zz,Netherlands,(12345) 1212,(12345) 1210,No Website
23,Karkki Oy,Anne Heikkonen,Product Manager,Valtakatu 12,Lappeenranta,Unknown,53120,Finland,(953) 10956,No Fax,No Website
24,"G'Day, Mate",Unknown,Sales Representative,170 Prince Edward Parade Hunter'S Hill,Sydney,Nsw,2042,Australia,(02) 555-5914,No Fax,G'day  Mate  (on  the  World  Wide  Web)#http://www.microsoft.com/accessdev/sampleapps/gdaymate.htm#  
25,Ma Maison,Jean-Guy Lauzon,Marketing Manager,2960 Rue St. Laurent,Montréal,Québec,H1J 1C3,Canada,(514) 555-9022,No Fax,No Website
26,Pasta Buttini S.R.L.,Giovanni Giudici,Order Administrator,"Via Dei Gelsomini, 153",Salerno,Unknown,84100,Italy,(089) 6547665,(089) 6547667,No Website
27,Escargots Nouveaux,Marie Delamare,Sales Manager,"22, Rue H. Voiron",Montceau,Unknown,71300,Frnace,85.57.00.07,No Fax,No Website
28,Gai Pâturage,Eliane Noz,Sales Representative,"Bat. B 3, Rue Des Alpes",Annecy,Unknown,74000,Frnace,38.76.98.06,38.76.98.58,No Website
29,Forêts D'Érables,Unknown,Accounting Manager,148 Rue Chasseur,Ste-Hyacinthe,Québec,J2S 7S8,Canada,(514) 555-2955,(514) 555-2921,No Website
