Table_Name,Column_Name,Data_Type,Non_Null_Count,Sample_Value
Categories,CategoryID,int64,8,1
Categories,CategoryName,object,8,beverages
Categories,Description,object,4,"sweet and savory sauces, relishes, spreads, and se"
Categories,Picture,object,8,\u0015\u001c\/\u0000\u0002\u0000\u0000\u0000\r\u00
Categories,has_description,bool,8,False
CustomerCustomerDemo,CustomerID,object,0,N/A
CustomerCustomerDemo,CustomerTypeID,object,0,N/A
CustomerDemographics,CustomerTypeID,object,0,N/A
CustomerDemographics,CustomerDesc,object,0,N/A
Customers,CustomerID,object,91,alfki
Customers,CompanyName,object,91,alfreds futterkiste
Customers,ContactName,object,91,maria anders
Customers,ContactTitle,object,91,sales representative
Customers,Address,object,91,obere str. 57
Customers,City,object,91,berlin
Customers,Region,object,91,Unknown
Customers,PostalCode,object,80,12209
Customers,Country,object,91,germany
Customers,Phone,object,91,030-0074321
Customers,Fax,object,91,030-0076545
EmployeeTerritories,EmployeeID,int64,51,1
EmployeeTerritories,TerritoryID,int64,51,6897
Employees,EmployeeID,int64,10,1
Employees,LastName,object,10,davolio
Employees,FirstName,object,10,nancy
Employees,Title,object,10,sales representative
Employees,TitleOfCourtesy,object,10,ms.
Employees,BirthDate,object,10,1948/12/08
Employees,HireDate,object,10,1992-05-01 00:00:00.000
Employees,Address,object,10,507 - 20th ave. e.apt. 2a
Employees,City,object,10,seattle
Employees,Region,object,10,wa
Employees,PostalCode,object,10,98122
Employees,Country,object,10,usa
Employees,HomePhone,object,10,(206) 555-9857
Employees,Extension,int64,10,5467
Employees,Photo,object,9,\u0015\u001c\/\u0000\u0002\u0000\u0000\u0000\r\u00
Employees,Notes,object,10,education includes a ba in psychology from colorad
Employees,ReportsTo,float64,9,2.0
Employees,PhotoPath,object,9,http://accweb/emmployees/davolio.bmp
Employees,has_photo,bool,10,True
Order_Details,OrderID,int64,2140,10248
Order_Details,ProductID,int64,2140,11
Order_Details,UnitPrice,float64,2140,14.0
Order_Details,Quantity,float64,2140,12.0
Order_Details,Discount,float64,2140,0.0
Orders,OrderID,int64,835,10248
Orders,CustomerID,object,835,vinet
Orders,EmployeeID,int64,835,5
Orders,OrderDate,object,835,04.07.1996
Orders,RequiredDate,object,835,1996-08-01 00:00:00
Orders,ShippedDate,object,800,1996-07-16 00:00:00
Orders,ShipVia,int64,835,3
Orders,Freight,float64,835,32.38
Orders,ShipName,object,835,vins et alcools chevalier
Orders,ShipAddress,object,835,59 rue de l'abbaye
Orders,ShipCity,object,835,reims
Orders,ShipRegion,object,835,Unknown
Orders,ShipPostalCode,object,816,51100
Orders,ShipCountry,object,835,france
Orders,has_ship_region,bool,835,False
Orders,is_shipped,bool,835,True
Products,ProductID,int64,78,1
Products,ProductName,object,78,chai
Products,SupplierID,int64,78,1
Products,CategoryID,int64,78,1
Products,QuantityPerUnit,object,78,Not specified
Products,UnitPrice,float64,78,18.0
Products,UnitsInStock,int64,78,39
Products,UnitsOnOrder,int64,78,0
Products,ReorderLevel,int64,78,10
Products,Discontinued,int64,78,0
Region,RegionID,int64,4,1
Region,RegionDescription,object,4,eastern
Shippers,ShipperID,int64,3,1
Shippers,CompanyName,object,3,speedy express
Shippers,Phone,object,3,(503) 555-9831
Suppliers,SupplierID,int64,30,1
Suppliers,CompanyName,object,30,exotic liquids
Suppliers,ContactName,object,25,charlotte cooper
Suppliers,ContactTitle,object,30,purchasing manager
Suppliers,Address,object,30,49 gilbert st.
Suppliers,City,object,26,london
Suppliers,Region,object,30,Unknown
Suppliers,PostalCode,object,30,ec1 4sd
Suppliers,Country,object,30,united kingdom
Suppliers,Phone,object,30,(171) 555-2222
Suppliers,Fax,object,30,Not Provided
Suppliers,has_region,bool,30,False
Suppliers,has_fax,bool,30,False
Territories,TerritoryID,int64,55,1581
Territories,TerritoryDescription,object,55,westboro
Territories,RegionID,int64,55,1
