OrderID,CustomerID,EmployeeID,OrderDate,RequiredDate,ShippedDate,ShipVia,Freight,ShipName,ShipAddress,ShipCity,ShipRegion,ShipPostalCode,ShipCountry,OrderYear,OrderMonth,OrderDayOfWeek,ShippingDurationDays,Delivery_Status
10248,VINET,5,1996-04-07,1996-08-01,1996-07-16,3,32.38,Vins Et Alcools Chevalier,59 Rue De L'Abbaye,Reims,Unknown,51100,France,1996,4,Sunday,100.0,On-Time
10249,TOMSP,6,1996-07-05,1996-08-16,1996-07-10,1,11.61,Toms Spezialitäten,Luisenstr. 48,Münster,Unknown,44087,Germany,1996,7,Friday,5.0,On-Time
10250,HANAR,4,1996-07-08,1996-05-08,1996-07-12,2,65.83,Hanari Carnes,"Rua Do Paço, 67",Rio De Janeiro,Rj,05454-876,Brazil,1996,7,Monday,4.0,Delayed
10251,VICTE,3,1996-08-07,1996-08-05,1996-07-15,1,41.34,Victuailles En Stock,"2, Rue Du Commerce",Lyon,Unknown,69004,France,1996,8,Wednesday,-23.0,On-Time
10252,SUPRD,4,1996-07-09,1996-06-08,1996-07-11,2,51.3,Suprêmes Délices,"Boulevard Tirou, 255",Charleroi,Unknown,B-6000,Belgium,1996,7,Tuesday,2.0,Delayed
10253,HANAR,3,1996-10-07,1996-07-24,1996-07-16,2,58.17,Hanari Carnes,"Rua Do Paço, 67",Rio De Janeiro,Rj,05454-876,Brazil,1996,10,Monday,-83.0,On-Time
10254,CHOPS,5,1996-07-11,1996-08-08,1996-07-23,2,22.98,Chop-Suey Chinese,Hauptstr. 31,Bern,Unknown,3012,Switzerland,1996,7,Thursday,12.0,On-Time
10255,RICSU,9,1996-07-12,1996-08-09,1996-07-15,3,148.33,Richter Supermarkt,Starenweg 5,Genève,Unknown,1204,Switzerland,1996,7,Friday,3.0,On-Time
10256,WELLI,3,1996-07-15,1996-12-08,1996-07-17,2,13.97,Wellington Importadora,"Rua Do Mercado, 12",Resende,Sp,08737-363,Brazil,1996,7,Monday,2.0,On-Time
10257,HILAA,4,1996-07-16,1996-08-13,1996-07-22,3,81.91,Hilarion-Abastos,Carrera 22 Con Ave. Carlos Soublette #8-35,San Cristóbal,Táchira,5022,Venezuela,1996,7,Tuesday,6.0,On-Time
10258,ERNSH,1,1996-07-17,1996-08-14,1996-07-23,1,140.51,Ernst Handel,Kirchgasse 6,Graz,Unknown,8010,Austria,1996,7,Wednesday,6.0,On-Time
10259,CENTC,4,1996-07-18,1996-08-15,1996-07-25,3,3.25,Centro Comercial Moctezuma,Sierras De Granada 9993,México D.F.,Unknown,05022,Mexico,1996,7,Thursday,7.0,On-Time
10260,OTTIK,4,1996-07-19,1996-08-16,1996-07-29,1,55.09,Ottilies Käseladen,Mehrheimerstr. 369,Köln,Unknown,50739,Germany,1996,7,Friday,10.0,On-Time
10261,QUEDE,4,1996-07-19,1996-08-16,1996-07-30,2,3.05,Que Delícia,"Rua Da Panificadora, 12",Rio De Janeiro,Rj,02389-673,Brazil,1996,7,Friday,11.0,On-Time
10262,RATTC,8,1996-07-22,1996-08-19,1996-07-25,3,48.29,Rattlesnake Canyon Grocery,2817 Milton Dr.,Albuquerque,Nm,87110,Usa,1996,7,Monday,3.0,On-Time
10263,ERNSH,9,1996-07-23,1996-08-20,1996-07-31,3,146.06,Ernst Handel,Kirchgasse 6,Graz,Unknown,8010,Austria,1996,7,Tuesday,8.0,On-Time
10264,FOLKO,6,1996-07-24,1996-08-21,1996-08-23,3,3.67,Folk Och Fä Hb,Åkergatan 24,Bräcke,Unknown,S-844 67,Sweden,1996,7,Wednesday,30.0,Delayed
10265,BLONP,2,1996-07-25,1996-08-22,1996-08-12,1,55.28,Blondel Père Et Fils,"24, Place Kléber",Strasbourg,Unknown,67000,France,1996,7,Thursday,18.0,On-Time
10266,WARTH,3,1996-07-26,1996-09-06,1996-07-31,3,25.73,Wartian Herkku,Torikatu 38,Oulu,Unknown,90110,Finland,1996,7,Friday,5.0,On-Time
10267,FRANK,4,2026-01-01,1996-08-26,1996-08-06,1,208.58,Frankenversand,Berliner Platz 43,München,Unknown,80805,Germany,2026,1,Thursday,-10740.0,On-Time
10268,GROSR,8,1996-07-30,1996-08-27,1996-02-08,3,66.29,Grosella-Restaurante,5ª Ave. Los Palos Grandes,Caracas,Df,1081,Venezuela,1996,7,Tuesday,-173.0,On-Time
10269,WHITC,5,1996-07-31,1996-08-14,1996-08-09,1,4.56,White Clover Markets,1029 - 12Th Ave. S.,Seattle,Wa,98124,Usa,1996,7,Wednesday,9.0,On-Time
10270,WARTH,1,1996-08-01,1996-08-29,1996-08-02,1,136.54,Wartian Herkku,Torikatu 38,Oulu,Unknown,90110,Finland,1996,8,Thursday,1.0,On-Time
10271,SPLIR,6,1996-01-08,1996-08-29,1996-08-30,2,4.54,Split Rail Beer & Ale,P.O. Box 555,Lander,Wy,82520,Usa,1996,1,Monday,235.0,Delayed
10272,RATTC,6,1996-08-02,1996-08-30,1996-08-06,2,98.03,Rattlesnake Canyon Grocery,2817 Milton Dr.,Albuquerque,Nm,87110,Usa,1996,8,Friday,4.0,On-Time
10273,QUICK,3,1996-08-05,1996-09-02,1996-08-12,3,76.07,Quick-Stop,Taucherstraße 10,Cunewalde,Unknown,01307,Germany,1996,8,Monday,7.0,On-Time
10274,VINET,6,1996-08-06,1996-09-03,1996-08-16,1,6.01,Vins Et Alcools Chevalier,59 Rue De L'Abbaye,Reims,Unknown,51100,France,1996,8,Tuesday,10.0,On-Time
10275,MAGAA,1,1996-08-07,1996-04-09,1996-08-09,1,26.93,Magazzini Alimentari Riuniti,Via Ludovico Il Moro 22,Bergamo,Unknown,24100,Italy,1996,8,Wednesday,2.0,Delayed
10276,TORTU,8,1996-08-08,1996-08-22,1996-08-14,3,13.84,Tortuga Restaurante,Avda. Azteca 123,México D.F.,Unknown,05033,Mexico,1996,8,Thursday,6.0,On-Time
10277,MORGK,2,1996-08-09,1996-09-06,,3,125.77,Morgenstern Gesundkost,Heerstr. 22,Leipzig,Unknown,04179,Germany,1996,8,Friday,,On-Time
10278,BERGS,8,1996-08-12,1996-09-09,1996-08-16,2,92.69,Berglunds Snabbköp,Berguvsvägen 8,Luleå,Unknown,S-958 22,Sweden,1996,8,Monday,4.0,On-Time
10279,LEHMS,8,1996-08-13,1996-09-10,1996-08-16,2,25.83,Lehmanns Marktstand,Magazinweg 7,Frankfurt A.M.,Unknown,60528,Germany,1996,8,Tuesday,3.0,On-Time
10280,BERGS,2,1996-08-14,1996-09-11,1996-09-12,1,8.98,Berglunds Snabbköp,Berguvsvägen 8,Luleå,Unknown,S-958 22,Sweden,1996,8,Wednesday,29.0,Delayed
10281,ROMEY,4,1996-08-14,1996-08-28,1996-08-21,1,2.94,Romero Y Tomillo,"Gran Vía, 1",Madrid,Unknown,28001,Spain,1996,8,Wednesday,7.0,On-Time
10282,ROMEY,4,1996-08-15,1996-09-12,1996-08-21,1,12.69,Romero Y Tomillo,"Gran Vía, 1",Madrid,Unknown,28001,Spain,1996,8,Thursday,6.0,On-Time
10283,LILAS,3,1996-08-16,1996-09-13,1996-08-23,3,84.81,Lila-Supermercado,Carrera 52 Con Ave. Bolívar #65-98 Llano Largo,Barquisimeto,Lara,Unknown,Venezuela,1996,8,Friday,7.0,On-Time
10284,LEHMS,4,1996-08-19,1996-09-16,1996-08-27,1,76.56,Lehmanns Marktstand,Magazinweg 7,Frankfurt A.M.,Unknown,60528,Germany,1996,8,Monday,8.0,On-Time
10285,QUICK,1,1996-08-20,1996-09-17,1996-08-26,2,76.83,Quick-Stop,Taucherstraße 10,Cunewalde,Unknown,01307,Germany,1996,8,Tuesday,6.0,On-Time
10286,QUICK,8,1996-08-21,1996-09-18,1996-08-30,3,229.24,Quick-Stop,Taucherstraße 10,Cunewalde,Unknown,01307,Germany,1996,8,Wednesday,9.0,On-Time
10287,RICAR,8,1996-08-22,1996-09-19,1996-08-28,3,12.76,Ricardo Adocicados,"Av. Copacabana, 267",Rio De Janeiro,Rj,02389-890,Brazil,1996,8,Thursday,6.0,On-Time
10288,REGGC,4,1996-08-23,1996-09-20,1996-09-03,1,7.45,Reggiani Caseifici,Strada Provinciale 124,Reggio Emilia,Unknown,42100,Italy,1996,8,Friday,11.0,On-Time
10289,BSBEV,7,1996-08-26,1996-09-23,1996-08-28,3,22.77,B'S Beverages,Fauntleroy Circus,London,Unknown,Ec2 5Nt,Uk,1996,8,Monday,2.0,On-Time
10290,COMMI,8,1996-08-27,1996-09-24,1996-09-03,1,79.7,Comércio Mineiro,"Av. Dos Lusíadas, 23",Sao Paulo,Sp,05432-043,Brazil,1996,8,Tuesday,7.0,On-Time
10291,QUEDE,6,1996-08-27,1996-09-24,1996-04-09,2,6.4,Que Delícia,"Rua Da Panificadora, 12",Rio De Janeiro,Rj,02389-673,Brazil,1996,8,Tuesday,-140.0,On-Time
10292,TRADH,1,1996-08-28,1996-09-25,1996-09-02,2,1.35,Tradiçao Hipermercados,"Av. Inês De Castro, 414",Sao Paulo,Sp,05634-030,Brazil,1996,8,Wednesday,5.0,On-Time
10293,TORTU,1,1996-08-29,1996-09-26,1996-09-11,3,21.18,Tortuga Restaurante,Avda. Azteca 123,México D.F.,Unknown,05033,Mexico,1996,8,Thursday,13.0,On-Time
10294,RATTC,4,1996-08-30,1996-09-27,1996-09-05,2,147.26,Rattlesnake Canyon Grocery,2817 Milton Dr.,Albuquerque,Nm,87110,Usa,1996,8,Friday,6.0,On-Time
10295,VINET,2,1996-09-02,1996-09-30,1996-09-10,2,1.15,Vins Et Alcools Chevalier,59 Rue De L'Abbaye,Reims,Unknown,51100,France,1996,9,Monday,8.0,On-Time
10296,LILAS,6,1996-09-03,1996-10-01,1996-09-11,1,0.12,Lila-Supermercado,Carrera 52 Con Ave. Bolívar #65-98 Llano Largo,Barquisimeto,Lara,3508,Venezuela,1996,9,Tuesday,8.0,On-Time
10297,BLONP,5,1996-09-04,1996-10-16,1996-09-10,2,5.74,Blondel Père Et Fils,"24, Place Kléber",Strasbourg,Unknown,67000,France,1996,9,Wednesday,6.0,On-Time
10298,HUNGO,6,1996-05-09,1996-10-03,1996-09-11,2,168.22,Hungry Owl All-Night Grocers,8 Johnstown Road,Cork,Co. Cork,Unknown,Ireland,1996,5,Thursday,125.0,On-Time
10299,RICAR,4,1996-09-06,1996-04-10,1996-09-13,2,29.76,Ricardo Adocicados,"Av. Copacabana, 267",Rio De Janeiro,Rj,02389-890,Brazil,1996,9,Friday,7.0,Delayed
10300,MAGAA,2,1996-09-09,1996-10-07,1996-09-18,2,17.68,Magazzini Alimentari Riuniti,Via Ludovico Il Moro 22,Bergamo,Unknown,24100,Italy,1996,9,Monday,9.0,On-Time
10301,WANDK,8,1996-09-09,1996-10-07,1996-09-17,2,45.08,Die Wandernde Kuh,Adenauerallee 900,Stuttgart,Unknown,70563,Germany,1996,9,Monday,8.0,On-Time
10302,SUPRD,4,1996-09-10,1996-10-08,1996-10-09,2,6.27,Suprêmes Délices,"Boulevard Tirou, 255",Charleroi,Unknown,B-6000,Belgium,1996,9,Tuesday,29.0,Delayed
10303,GODOS,7,1996-09-11,1996-10-09,1996-09-18,2,107.83,Godos Cocina Típica,"C/ Romero, 33",Sevilla,Unknown,41101,Spain,1996,9,Wednesday,7.0,On-Time
