TerritoryID,TerritoryDescription,RegionID
1581,westboro,1
1730,bedford,1
1833,georgetow,1
2116,boston,1
2139,cambridge,1
2184,braintree,1
2903,providence,1
3049,hollis,3
3801,portsmouth,3
6897,wilton,1
7960,morristown,1
8837,edison,1
10019,new york,1
10038,new york,1
11747,mellvile,1
14450,fairport,1
19428,philadelphia,3
19713,neward,1
20852,rockville,1
27403,greensboro,1
27511,cary,1
29202,columbia,4
30346,atlanta,4
31406,savannah,4
32859,orlando,4
33607,tampa,4
40222,louisville,1
44122,beachwood,3
45839,findlay,3
48075,southfield,3
48084,troy,3
48304,bloomfield hills,3
53404,racine,3
55113,roseville,3
55439,minneapolis,3
60179,hoffman estates,2
60601,chicago,2
72716,bentonville,4
75234,dallas,4
78759,austin,4
80202,denver,2
80909,colorado springs,2
85014,phoenix,2
85251,scottsdale,2
90405,santa monica,2
94025,menlo park,2
94105,san francisco,2
95008,campbell,2
95054,santa clara,2
95060,santa cruz,2
98004,bellevue,2
98052,redmond,2
98104,seattle,2
99999,fake territory,5
88888,nowhere,0
